EventName,Lap,Driver,GapToLeader_Secs,Event
Bahrain Grand Prix,3.0,SAR,12.672,
Bahrain Grand Prix,3.0,MAG,17.83,
Bahrain Grand Prix,3.0,DEV,17.163,
Bahrain Grand Prix,3.0,TSU,13.872,
Bahrain Grand Prix,3.0,ALB,12.027,
Bahrain Grand Prix,3.0,ZHO,15.155,
Bahrain Grand Prix,3.0,HUL,13.544,
Bahrain Grand Prix,3.0,OCO,11.324,
Bahrain Grand Prix,3.0,NOR,10.575,
Bahrain Grand Prix,3.0,HAM,5.675,
Bahrain Grand Prix,3.0,SAI,4.635,
Bahrain Grand Prix,3.0,RUS,6.346,
Bahrain Grand Prix,3.0,BOT,8.508,
Bahrain Grand Prix,3.0,PIA,14.736,
Bahrain Grand Prix,4.0,VER,0.0,
Bahrain Grand Prix,4.0,GAS,18.649,
Bahrain Grand Prix,4.0,PER,4.538,
Bahrain Grand Prix,4.0,ALO,9.073,
Bahrain Grand Prix,4.0,LEC,3.488,
Bahrain Grand Prix,4.0,STR,10.957,
Bahrain Grand Prix,4.0,SAR,15.34,
Bahrain Grand Prix,4.0,MAG,20.627,
Bahrain Grand Prix,4.0,DEV,19.56,
Bahrain Grand Prix,4.0,TSU,15.846,
Bahrain Grand Prix,4.0,ALB,13.812,
Bahrain Grand Prix,4.0,ZHO,18.032,
Bahrain Grand Prix,4.0,HUL,16.572,
Bahrain Grand Prix,4.0,OCO,12.891,
Bahrain Grand Prix,4.0,NOR,14.866,
Bahrain Grand Prix,4.0,HAM,6.897,
Bahrain Grand Prix,4.0,SAI,5.644,
Bahrain Grand Prix,4.0,RUS,7.631,
Bahrain Grand Prix,4.0,BOT,10.355,
Bahrain Grand Prix,4.0,PIA,17.478,
Bahrain Grand Prix,5.0,VER,0.0,
Bahrain Grand Prix,5.0,GAS,21.432,
Bahrain Grand Prix,5.0,PER,4.907,
Bahrain Grand Prix,5.0,ALO,10.7,
Bahrain Grand Prix,5.0,LEC,4.117,
Bahrain Grand Prix,5.0,STR,12.066,
Bahrain Grand Prix,5.0,SAR,18.207,
Bahrain Grand Prix,5.0,MAG,23.932,
Bahrain Grand Prix,5.0,DEV,22.155,
Bahrain Grand Prix,5.0,TSU,18.942,
Bahrain Grand Prix,5.0,ALB,16.383,
Bahrain Grand Prix,5.0,ZHO,20.811,
Bahrain Grand Prix,5.0,HUL,19.539,
Bahrain Grand Prix,5.0,OCO,15.137,
Bahrain Grand Prix,5.0,NOR,17.495,
Bahrain Grand Prix,5.0,HAM,8.197,
Bahrain Grand Prix,5.0,SAI,6.737,
Bahrain Grand Prix,5.0,RUS,9.145,
Bahrain Grand Prix,5.0,BOT,13.353,
Bahrain Grand Prix,5.0,PIA,20.305,
Bahrain Grand Prix,6.0,VER,0.0,
Bahrain Grand Prix,6.0,GAS,24.556,
Bahrain Grand Prix,6.0,PER,5.639,
Bahrain Grand Prix,6.0,ALO,12.388,
Bahrain Grand Prix,6.0,LEC,4.703,
Bahrain Grand Prix,6.0,STR,13.794,
Bahrain Grand Prix,6.0,SAR,21.012,
Bahrain Grand Prix,6.0,MAG,27.071,
Bahrain Grand Prix,6.0,DEV,25.294,
Bahrain Grand Prix,6.0,TSU,21.842,
Bahrain Grand Prix,6.0,ALB,19.141,
Bahrain Grand Prix,6.0,ZHO,23.981,
Bahrain Grand Prix,6.0,HUL,22.555,
Bahrain Grand Prix,6.0,OCO,17.482,
Bahrain Grand Prix,6.0,NOR,20.323,
Bahrain Grand Prix,6.0,HAM,9.967,
Bahrain Grand Prix,6.0,SAI,8.225,
Bahrain Grand Prix,6.0,RUS,10.652,
Bahrain Grand Prix,6.0,BOT,15.632,
Bahrain Grand Prix,6.0,PIA,23.43,
Bahrain Grand Prix,7.0,VER,0.0,
Bahrain Grand Prix,7.0,GAS,27.669,
Bahrain Grand Prix,7.0,PER,6.422,
Bahrain Grand Prix,7.0,ALO,14.096,
Bahrain Grand Prix,7.0,LEC,5.373,
Bahrain Grand Prix,7.0,STR,15.718,
Bahrain Grand Prix,7.0,SAR,23.883,
Bahrain Grand Prix,7.0,MAG,30.576,
Bahrain Grand Prix,7.0,DEV,28.439,
Bahrain Grand Prix,7.0,TSU,24.773,
Bahrain Grand Prix,7.0,ALB,21.766,
Bahrain Grand Prix,7.0,ZHO,27.157,
Bahrain Grand Prix,7.0,HUL,25.682,
Bahrain Grand Prix,7.0,OCO,19.949,
Bahrain Grand Prix,7.0,NOR,23.028,
Bahrain Grand Prix,7.0,HAM,11.703,
Bahrain Grand Prix,7.0,SAI,9.706,
Bahrain Grand Prix,7.0,RUS,12.687,
Bahrain Grand Prix,7.0,BOT,18.175,
Bahrain Grand Prix,7.0,PIA,26.576,
Bahrain Grand Prix,8.0,VER,0.0,
Bahrain Grand Prix,8.0,GAS,30.688,
Bahrain Grand Prix,8.0,PER,7.44,
Bahrain Grand Prix,8.0,ALO,15.901,
Bahrain Grand Prix,8.0,LEC,5.833,
Bahrain Grand Prix,8.0,STR,17.365,
Bahrain Grand Prix,8.0,SAR,26.597,
Bahrain Grand Prix,8.0,MAG,33.705,
Bahrain Grand Prix,8.0,DEV,31.515,
Bahrain Grand Prix,8.0,TSU,27.465,
Bahrain Grand Prix,8.0,ALB,24.53,
Bahrain Grand Prix,8.0,ZHO,30.187,
Bahrain Grand Prix,8.0,HUL,28.777,
Bahrain Grand Prix,8.0,OCO,22.357,
Bahrain Grand Prix,8.0,NOR,25.731,
Bahrain Grand Prix,8.0,HAM,13.816,
Bahrain Grand Prix,8.0,SAI,11.331,
Bahrain Grand Prix,8.0,RUS,14.843,
Bahrain Grand Prix,8.0,BOT,20.408,
Bahrain Grand Prix,8.0,PIA,29.717,
Bahrain Grand Prix,9.0,VER,0.0,
Bahrain Grand Prix,9.0,GAS,36.611,
Bahrain Grand Prix,9.0,PER,8.076,
Bahrain Grand Prix,9.0,ALO,17.898,
Bahrain Grand Prix,9.0,LEC,6.383,
Bahrain Grand Prix,9.0,STR,19.193,
Bahrain Grand Prix,9.0,SAR,29.227,
Bahrain Grand Prix,9.0,MAG,36.705,
Bahrain Grand Prix,9.0,DEV,34.81,
Bahrain Grand Prix,9.0,TSU,30.197,
Bahrain Grand Prix,9.0,ALB,27.221,
Bahrain Grand Prix,9.0,ZHO,33.435,
Bahrain Grand Prix,9.0,HUL,32.114,
Bahrain Grand Prix,9.0,OCO,24.945,
Bahrain Grand Prix,9.0,NOR,28.236,
Bahrain Grand Prix,9.0,HAM,15.861,
Bahrain Grand Prix,9.0,SAI,12.797,
Bahrain Grand Prix,9.0,RUS,16.985,
Bahrain Grand Prix,9.0,BOT,22.405,
Bahrain Grand Prix,9.0,PIA,32.973,
Bahrain Grand Prix,10.0,VER,0.0,
Bahrain Grand Prix,10.0,GAS,59.504,
Bahrain Grand Prix,10.0,PER,8.792,
Bahrain Grand Prix,10.0,ALO,19.732,
Bahrain Grand Prix,10.0,LEC,7.087,
Bahrain Grand Prix,10.0,STR,21.016,
Bahrain Grand Prix,10.0,SAR,31.991,
Bahrain Grand Prix,10.0,MAG,40.055,
Bahrain Grand Prix,10.0,DEV,38.107,
Bahrain Grand Prix,10.0,TSU,35.577,
Bahrain Grand Prix,10.0,ALB,29.971,
Bahrain Grand Prix,10.0,ZHO,36.809,
Bahrain Grand Prix,10.0,HUL,35.997,
Bahrain Grand Prix,10.0,OCO,27.434,
Bahrain Grand Prix,10.0,NOR,33.388,
Bahrain Grand Prix,10.0,HAM,17.781,
Bahrain Grand Prix,10.0,SAI,14.53,
Bahrain Grand Prix,10.0,RUS,19.148,
Bahrain Grand Prix,10.0,BOT,24.712,
Bahrain Grand Prix,10.0,PIA,36.188,
Bahrain Grand Prix,11.0,VER,0.0,
Bahrain Grand Prix,11.0,GAS,59.783,
Bahrain Grand Prix,11.0,PER,9.558,
Bahrain Grand Prix,11.0,ALO,22.396,
Bahrain Grand Prix,11.0,LEC,7.816,
Bahrain Grand Prix,11.0,STR,23.456,
Bahrain Grand Prix,11.0,SAR,35.04,
Bahrain Grand Prix,11.0,MAG,43.621,
Bahrain Grand Prix,11.0,DEV,45.084,
Bahrain Grand Prix,11.0,TSU,56.937,
Bahrain Grand Prix,11.0,ALB,35.436,
Bahrain Grand Prix,11.0,ZHO,40.434,
Bahrain Grand Prix,11.0,HUL,44.304,
Bahrain Grand Prix,11.0,OCO,29.986,
Bahrain Grand Prix,11.0,NOR,64.791,
Bahrain Grand Prix,11.0,HAM,20.05,
Bahrain Grand Prix,11.0,SAI,16.554,
Bahrain Grand Prix,11.0,RUS,21.75,
Bahrain Grand Prix,11.0,BOT,29.498,
Bahrain Grand Prix,11.0,PIA,39.057,
Bahrain Grand Prix,12.0,VER,0.0,
Bahrain Grand Prix,12.0,GAS,60.12,
Bahrain Grand Prix,12.0,PER,10.164,
Bahrain Grand Prix,12.0,ALO,24.739,
Bahrain Grand Prix,12.0,LEC,8.714,
Bahrain Grand Prix,12.0,STR,25.904,
Bahrain Grand Prix,12.0,SAR,40.329,
Bahrain Grand Prix,12.0,MAG,46.375,
Bahrain Grand Prix,12.0,DEV,67.677,
Bahrain Grand Prix,12.0,TSU,57.489,
Bahrain Grand Prix,12.0,ALB,56.29,
Bahrain Grand Prix,12.0,ZHO,45.713,
Bahrain Grand Prix,12.0,HUL,68.292,
Bahrain Grand Prix,12.0,OCO,35.182,
Bahrain Grand Prix,12.0,NOR,65.514,
Bahrain Grand Prix,12.0,HAM,24.795,
Bahrain Grand Prix,12.0,SAI,18.483,
Bahrain Grand Prix,12.0,RUS,24.271,
Bahrain Grand Prix,12.0,BOT,50.357,
Bahrain Grand Prix,12.0,PIA,41.622,
Bahrain Grand Prix,13.0,VER,0.0,
Bahrain Grand Prix,13.0,GAS,60.987,
Bahrain Grand Prix,13.0,PER,11.018,
Bahrain Grand Prix,13.0,ALO,26.598,
Bahrain Grand Prix,13.0,LEC,12.3,
Bahrain Grand Prix,13.0,STR,28.542,
Bahrain Grand Prix,13.0,SAR,62.102,
Bahrain Grand Prix,13.0,MAG,49.547,
Bahrain Grand Prix,13.0,DEV,68.119,
Bahrain Grand Prix,13.0,TSU,58.478,
Bahrain Grand Prix,13.0,ALB,56.457,
Bahrain Grand Prix,13.0,ZHO,69.332,
Bahrain Grand Prix,13.0,HUL,69.216,
Bahrain Grand Prix,13.0,OCO,57.081,
Bahrain Grand Prix,13.0,NOR,66.542,
Bahrain Grand Prix,13.0,HAM,45.492,
Bahrain Grand Prix,13.0,SAI,23.311,
Bahrain Grand Prix,13.0,RUS,30.48,
Bahrain Grand Prix,13.0,BOT,49.905,
Bahrain Grand Prix,13.0,PIA,65.211,
Bahrain Grand Prix,14.0,VER,0.0,
Bahrain Grand Prix,14.0,GAS,58.551,
Bahrain Grand Prix,14.0,PER,8.462,
Bahrain Grand Prix,14.0,ALO,27.515,
Bahrain Grand Prix,14.0,LEC,29.775,
Bahrain Grand Prix,14.0,STR,27.249,
Bahrain Grand Prix,14.0,SAR,59.22,
Bahrain Grand Prix,14.0,MAG,49.991,
Bahrain Grand Prix,14.0,DEV,65.653,
Bahrain Grand Prix,14.0,TSU,55.925,
Bahrain Grand Prix,14.0,ALB,53.634,
Bahrain Grand Prix,14.0,ZHO,67.367,
Bahrain Grand Prix,14.0,HUL,66.768,
Bahrain Grand Prix,14.0,OCO,54.435,
Bahrain Grand Prix,14.0,NOR,64.49,
Bahrain Grand Prix,14.0,HAM,42.505,
Bahrain Grand Prix,14.0,SAI,41.022,
Bahrain Grand Prix,14.0,RUS,50.454,
Bahrain Grand Prix,14.0,BOT,46.708,
Bahrain Grand Prix,15.0,VER,11.308,
Bahrain Grand Prix,15.0,GAS,50.466,
Bahrain Grand Prix,15.0,PER,0.0,
Bahrain Grand Prix,15.0,ALO,40.137,
Bahrain Grand Prix,15.0,LEC,21.182,
Bahrain Grand Prix,15.0,STR,23.02,
Bahrain Grand Prix,15.0,SAR,51.183,
Bahrain Grand Prix,15.0,MAG,47.82,
Bahrain Grand Prix,15.0,DEV,57.451,
Bahrain Grand Prix,15.0,TSU,47.83,
Bahrain Grand Prix,15.0,ALB,45.722,
Bahrain Grand Prix,15.0,ZHO,59.526,
Bahrain Grand Prix,15.0,HUL,58.67,
Bahrain Grand Prix,15.0,OCO,49.228,
Bahrain Grand Prix,15.0,NOR,56.29,
Bahrain Grand Prix,15.0,HAM,33.962,
Bahrain Grand Prix,15.0,SAI,31.937,
Bahrain Grand Prix,15.0,RUS,40.844,
Bahrain Grand Prix,15.0,BOT,38.489,
Bahrain Grand Prix,16.0,VER,10.339,
Bahrain Grand Prix,16.0,GAS,50.641,
Bahrain Grand Prix,16.0,PER,0.0,
Bahrain Grand Prix,16.0,ALO,38.909,
Bahrain Grand Prix,16.0,LEC,20.365,
Bahrain Grand Prix,16.0,STR,44.126,
Bahrain Grand Prix,16.0,SAR,51.401,
Bahrain Grand Prix,16.0,MAG,69.637,
Bahrain Grand Prix,16.0,DEV,57.808,
Bahrain Grand Prix,16.0,TSU,48.121,
Bahrain Grand Prix,16.0,ALB,46.205,
Bahrain Grand Prix,16.0,ZHO,59.754,
Bahrain Grand Prix,16.0,HUL,59.036,
Bahrain Grand Prix,16.0,OCO,86.166,
Bahrain Grand Prix,16.0,NOR,56.38,
Bahrain Grand Prix,16.0,HAM,33.809,
Bahrain Grand Prix,16.0,SAI,31.6,
Bahrain Grand Prix,16.0,RUS,39.907,
Bahrain Grand Prix,16.0,BOT,38.213,
Bahrain Grand Prix,17.0,VER,6.627,
Bahrain Grand Prix,17.0,GAS,48.292,
Bahrain Grand Prix,17.0,PER,0.0,
Bahrain Grand Prix,17.0,ALO,35.688,
Bahrain Grand Prix,17.0,LEC,17.036,
Bahrain Grand Prix,17.0,STR,40.273,
Bahrain Grand Prix,17.0,SAR,49.48,
Bahrain Grand Prix,17.0,MAG,66.596,
Bahrain Grand Prix,17.0,DEV,55.444,
Bahrain Grand Prix,17.0,TSU,45.782,
Bahrain Grand Prix,17.0,ALB,43.939,
Bahrain Grand Prix,17.0,ZHO,57.537,
Bahrain Grand Prix,17.0,HUL,57.072,
Bahrain Grand Prix,17.0,OCO,83.586,
Bahrain Grand Prix,17.0,NOR,56.521,
Bahrain Grand Prix,17.0,HAM,31.153,
Bahrain Grand Prix,17.0,SAI,28.401,
Bahrain Grand Prix,17.0,RUS,37.151,
Bahrain Grand Prix,17.0,BOT,36.826,
Bahrain Grand Prix,18.0,VER,0.0,
Bahrain Grand Prix,18.0,GAS,43.08,
Bahrain Grand Prix,18.0,PER,14.556,
Bahrain Grand Prix,18.0,ALO,29.571,
Bahrain Grand Prix,18.0,LEC,10.593,
Bahrain Grand Prix,18.0,STR,34.159,
Bahrain Grand Prix,18.0,SAR,44.638,
Bahrain Grand Prix,18.0,MAG,60.629,
Bahrain Grand Prix,18.0,DEV,50.257,
Bahrain Grand Prix,18.0,TSU,40.843,
Bahrain Grand Prix,18.0,ALB,38.747,
Bahrain Grand Prix,18.0,ZHO,52.169,
Bahrain Grand Prix,18.0,HUL,53.154,
Bahrain Grand Prix,18.0,OCO,78.231,
Bahrain Grand Prix,18.0,NOR,80.887,
Bahrain Grand Prix,18.0,HAM,25.602,
Bahrain Grand Prix,18.0,SAI,22.447,
Bahrain Grand Prix,18.0,RUS,31.337,
Bahrain Grand Prix,18.0,BOT,32.825,
Bahrain Grand Prix,19.0,VER,0.0,
Bahrain Grand Prix,19.0,GAS,44.434,
Bahrain Grand Prix,19.0,PER,14.503,
Bahrain Grand Prix,19.0,ALO,30.22,
Bahrain Grand Prix,19.0,LEC,10.739,
Bahrain Grand Prix,19.0,STR,35.034,
Bahrain Grand Prix,19.0,SAR,46.146,
Bahrain Grand Prix,19.0,MAG,61.72,
Bahrain Grand Prix,19.0,DEV,51.623,
Bahrain Grand Prix,19.0,TSU,42.301,
Bahrain Grand Prix,19.0,ALB,40.307,
Bahrain Grand Prix,19.0,ZHO,53.251,
Bahrain Grand Prix,19.0,HUL,55.075,
Bahrain Grand Prix,19.0,OCO,79.336,
Bahrain Grand Prix,19.0,NOR,81.141,
Bahrain Grand Prix,19.0,HAM,26.574,
Bahrain Grand Prix,19.0,SAI,22.945,
Bahrain Grand Prix,19.0,RUS,32.137,
Bahrain Grand Prix,19.0,BOT,34.61,
Bahrain Grand Prix,20.0,VER,0.0,
Bahrain Grand Prix,20.0,GAS,45.663,
Bahrain Grand Prix,20.0,PER,14.163,
Bahrain Grand Prix,20.0,ALO,30.75,
Bahrain Grand Prix,20.0,LEC,10.582,
Bahrain Grand Prix,20.0,STR,35.284,
Bahrain Grand Prix,20.0,SAR,47.544,
Bahrain Grand Prix,20.0,MAG,63.015,
Bahrain Grand Prix,20.0,DEV,53.017,
Bahrain Grand Prix,20.0,TSU,43.795,
Bahrain Grand Prix,20.0,ALB,41.818,
Bahrain Grand Prix,20.0,ZHO,54.359,
Bahrain Grand Prix,20.0,HUL,56.782,
Bahrain Grand Prix,20.0,OCO,80.357,
Bahrain Grand Prix,20.0,NOR,81.698,
Bahrain Grand Prix,20.0,HAM,27.264,
Bahrain Grand Prix,20.0,SAI,23.253,
Bahrain Grand Prix,20.0,RUS,32.927,
Bahrain Grand Prix,20.0,BOT,37.264,
Bahrain Grand Prix,21.0,VER,0.0,
Bahrain Grand Prix,21.0,GAS,47.408,
Bahrain Grand Prix,21.0,PER,13.821,
Bahrain Grand Prix,21.0,ALO,31.575,
Bahrain Grand Prix,21.0,LEC,10.753,
Bahrain Grand Prix,21.0,STR,35.975,
Bahrain Grand Prix,21.0,SAR,49.574,
Bahrain Grand Prix,21.0,MAG,64.519,
Bahrain Grand Prix,21.0,DEV,54.617,
Bahrain Grand Prix,21.0,TSU,45.538,
Bahrain Grand Prix,21.0,ALB,43.827,
Bahrain Grand Prix,21.0,ZHO,55.665,
Bahrain Grand Prix,21.0,HUL,58.903,
Bahrain Grand Prix,21.0,OCO,81.751,
Bahrain Grand Prix,21.0,NOR,82.413,
Bahrain Grand Prix,21.0,HAM,28.263,
Bahrain Grand Prix,21.0,SAI,23.911,
Bahrain Grand Prix,21.0,RUS,33.9,
Bahrain Grand Prix,21.0,BOT,39.037,
Bahrain Grand Prix,22.0,VER,0.0,
Bahrain Grand Prix,22.0,GAS,49.242,
Bahrain Grand Prix,22.0,PER,13.339,
Bahrain Grand Prix,22.0,ALO,32.124,
Bahrain Grand Prix,22.0,LEC,11.264,
Bahrain Grand Prix,22.0,STR,37.054,
Bahrain Grand Prix,22.0,SAR,51.285,
Bahrain Grand Prix,22.0,MAG,65.781,
Bahrain Grand Prix,22.0,DEV,56.262,
Bahrain Grand Prix,22.0,TSU,47.326,
Bahrain Grand Prix,22.0,ALB,45.764,
Bahrain Grand Prix,22.0,ZHO,57.129,
Bahrain Grand Prix,22.0,HUL,61.186,
Bahrain Grand Prix,22.0,OCO,83.128,
Bahrain Grand Prix,22.0,NOR,83.67,
Bahrain Grand Prix,22.0,HAM,29.072,
Bahrain Grand Prix,22.0,SAI,24.713,
Bahrain Grand Prix,22.0,RUS,34.687,
Bahrain Grand Prix,22.0,BOT,40.742,
Bahrain Grand Prix,23.0,VER,0.0,
Bahrain Grand Prix,23.0,GAS,50.953,
Bahrain Grand Prix,23.0,PER,13.091,
Bahrain Grand Prix,23.0,ALO,32.425,
Bahrain Grand Prix,23.0,LEC,11.766,
Bahrain Grand Prix,23.0,STR,37.797,
Bahrain Grand Prix,23.0,SAR,53.425,
Bahrain Grand Prix,23.0,MAG,67.256,
Bahrain Grand Prix,23.0,DEV,58.252,
Bahrain Grand Prix,23.0,TSU,49.406,
Bahrain Grand Prix,23.0,ALB,48.014,
Bahrain Grand Prix,23.0,ZHO,59.039,
Bahrain Grand Prix,23.0,HUL,63.5,
Bahrain Grand Prix,23.0,OCO,85.628,
Bahrain Grand Prix,23.0,NOR,84.409,
Bahrain Grand Prix,23.0,HAM,29.904,
Bahrain Grand Prix,23.0,SAI,25.758,
Bahrain Grand Prix,23.0,RUS,35.908,
Bahrain Grand Prix,23.0,BOT,42.501,
Bahrain Grand Prix,24.0,VER,0.0,
Bahrain Grand Prix,24.0,GAS,53.327,
Bahrain Grand Prix,24.0,PER,13.056,
Bahrain Grand Prix,24.0,ALO,32.916,
Bahrain Grand Prix,24.0,LEC,12.351,
Bahrain Grand Prix,24.0,STR,38.888,
Bahrain Grand Prix,24.0,SAR,55.91,
Bahrain Grand Prix,24.0,MAG,68.816,
Bahrain Grand Prix,24.0,DEV,60.672,
Bahrain Grand Prix,24.0,TSU,52.128,
Bahrain Grand Prix,24.0,ALB,50.517,
Bahrain Grand Prix,24.0,ZHO,61.155,
Bahrain Grand Prix,24.0,HUL,65.968,
Bahrain Grand Prix,24.0,OCO,87.623,
Bahrain Grand Prix,24.0,NOR,85.718,
Bahrain Grand Prix,24.0,HAM,30.884,
Bahrain Grand Prix,24.0,SAI,26.685,
Bahrain Grand Prix,24.0,RUS,37.164,
Bahrain Grand Prix,24.0,BOT,44.541,
Bahrain Grand Prix,25.0,VER,0.0,
Bahrain Grand Prix,25.0,GAS,58.243,
Bahrain Grand Prix,25.0,PER,14.102,
Bahrain Grand Prix,25.0,ALO,33.683,
Bahrain Grand Prix,25.0,LEC,13.52,
Bahrain Grand Prix,25.0,STR,39.766,
Bahrain Grand Prix,25.0,SAR,58.372,
Bahrain Grand Prix,25.0,MAG,70.92,
Bahrain Grand Prix,25.0,DEV,64.26,
Bahrain Grand Prix,25.0,TSU,54.502,
Bahrain Grand Prix,25.0,ALB,52.977,
Bahrain Grand Prix,25.0,ZHO,62.849,
Bahrain Grand Prix,25.0,HUL,68.891,
Bahrain Grand Prix,25.0,OCO,89.686,
Bahrain Grand Prix,25.0,NOR,86.793,
Bahrain Grand Prix,25.0,HAM,31.802,
Bahrain Grand Prix,25.0,SAI,27.884,
Bahrain Grand Prix,25.0,RUS,38.279,
Bahrain Grand Prix,25.0,BOT,46.659,
Bahrain Grand Prix,26.0,VER,0.0,
Bahrain Grand Prix,26.0,GAS,79.965,
Bahrain Grand Prix,26.0,PER,13.874,
Bahrain Grand Prix,26.0,ALO,34.128,
Bahrain Grand Prix,26.0,LEC,15.506,
Bahrain Grand Prix,26.0,STR,40.566,
Bahrain Grand Prix,26.0,SAR,60.696,
Bahrain Grand Prix,26.0,MAG,72.839,
Bahrain Grand Prix,26.0,DEV,66.548,
Bahrain Grand Prix,26.0,TSU,59.047,
Bahrain Grand Prix,26.0,ALB,57.905,
Bahrain Grand Prix,26.0,ZHO,64.594,
Bahrain Grand Prix,26.0,HUL,74.14,
Bahrain Grand Prix,26.0,OCO,91.525,
Bahrain Grand Prix,26.0,NOR,87.551,
Bahrain Grand Prix,26.0,HAM,32.459,
Bahrain Grand Prix,26.0,SAI,28.533,
Bahrain Grand Prix,26.0,RUS,39.059,
Bahrain Grand Prix,26.0,BOT,48.477,
Bahrain Grand Prix,27.0,VER,0.0,
Bahrain Grand Prix,27.0,GAS,81.315,
Bahrain Grand Prix,27.0,PER,13.882,
Bahrain Grand Prix,27.0,ALO,35.361,
Bahrain Grand Prix,27.0,LEC,16.941,
Bahrain Grand Prix,27.0,STR,42.208,
Bahrain Grand Prix,27.0,SAR,62.919,
Bahrain Grand Prix,27.0,MAG,74.758,
Bahrain Grand Prix,27.0,DEV,71.478,
Bahrain Grand Prix,27.0,TSU,81.968,
Bahrain Grand Prix,27.0,ALB,80.396,
Bahrain Grand Prix,27.0,ZHO,66.45,
Bahrain Grand Prix,27.0,HUL,108.798,
Bahrain Grand Prix,27.0,OCO,93.74,
Bahrain Grand Prix,27.0,NOR,91.145,
Bahrain Grand Prix,27.0,HAM,33.449,
Bahrain Grand Prix,27.0,SAI,29.577,
Bahrain Grand Prix,27.0,RUS,40.305,
Bahrain Grand Prix,27.0,BOT,50.385,
Bahrain Grand Prix,28.0,VER,0.0,
Bahrain Grand Prix,28.0,GAS,81.425,
Bahrain Grand Prix,28.0,PER,13.442,
Bahrain Grand Prix,28.0,ALO,35.909,
Bahrain Grand Prix,28.0,LEC,17.908,
Bahrain Grand Prix,28.0,STR,43.28,
Bahrain Grand Prix,28.0,SAR,64.888,
Bahrain Grand Prix,28.0,MAG,76.423,
Bahrain Grand Prix,28.0,DEV,93.91,
Bahrain Grand Prix,28.0,TSU,82.141,
Bahrain Grand Prix,28.0,ALB,80.248,
Bahrain Grand Prix,28.0,ZHO,68.211,
Bahrain Grand Prix,28.0,HUL,108.128,
Bahrain Grand Prix,28.0,OCO,96.115,
Bahrain Grand Prix,28.0,NOR,121.157,
Bahrain Grand Prix,28.0,HAM,34.063,
Bahrain Grand Prix,28.0,SAI,30.4,
Bahrain Grand Prix,28.0,RUS,41.102,
Bahrain Grand Prix,28.0,BOT,51.75,
Bahrain Grand Prix,29.0,VER,0.0,
Bahrain Grand Prix,29.0,GAS,81.866,
Bahrain Grand Prix,29.0,PER,13.604,
Bahrain Grand Prix,29.0,ALO,36.923,
Bahrain Grand Prix,29.0,LEC,18.784,
Bahrain Grand Prix,29.0,STR,44.419,
Bahrain Grand Prix,29.0,SAR,66.99,
Bahrain Grand Prix,29.0,MAG,80.831,
Bahrain Grand Prix,29.0,DEV,94.46,
Bahrain Grand Prix,29.0,TSU,82.349,
Bahrain Grand Prix,29.0,ALB,80.804,
Bahrain Grand Prix,29.0,ZHO,70.001,
Bahrain Grand Prix,29.0,HUL,107.955,
Bahrain Grand Prix,29.0,OCO,99.725,
Bahrain Grand Prix,29.0,NOR,120.846,
